id,body,actor,reply,class,time
86,"gonna have to order me some za tonight, looks so good",cavsforever,251,normal,54:17
87,they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,normal,10:22
88,might have to celebrate yesterday's big win with one these tonight,cavsforever,257,normal,21:11
89,"dakawhatta? never heard of it, looks good though",cavsforever,259,normal,68:13
90,"can't wait till my peppers start to ripen, gotta love homegrown veggies!!!",cavsforever,139,normal,1:12
91,"I still remember when you first told me that story at Nif's, so funny ",cavsforever,131,normal,48:22
92,looks like its gonna be a good night,cavsforever,127,normal,53:46
93,I love it! Have you ever tried it with any meats? ,karenM,142,normal,70:31
94,"Look at you Mateo, husband of the year!",karenM,138,normal,69:43
95,"My tomatoes never turn out in our backyard. You must be doing something right, they look delicious!",karenM,139,normal,11:11
96,Looks yummy!,karenM,164,normal,-2:45
97,"Their brand is really starting to catch on. Good for them, great service and great food",karenM,87,normal,15:10
98,What kind of rolls are those? I tried something called a sumo roll last week and it was delicious,karenM,236,normal,21:34
99,Mmmm looks super good. I might have to treat my sweet tooth tonight too!,karenM,257,normal,29:13
100,so classy lucy,casssssssssie,244,normal,1:13
101,"amazing, congrats <333",casssssssssie,208,normal,2:16
102,"look at you go girl, looks yummmyyy",casssssssssie,178,normal,22:32
103,"i need one of these, like now",casssssssssie,22,normal,-09:12
104,Only if they're Boston Cream!,TimBJenkins,58,normal,15:10
105,"I love seafood chowder, especially with some nice black pepper sprinkled on top.",TimBJenkins,156,normal,30:32
106,"Wow, I haven't had ramen since the college days. Good times.",TimBJenkins,217,normal,38:02
107,Oh how we miss our old metabolisms...,TimBJenkins,221,normal,3:10
108,"Interesting...I haven't been to the movies for a while, but defintiely don't remember that.",TimBJenkins,121,normal,34:17
109,PASTAAAAAAAAA YASSSSS.,MedicalRyan,81,normal,-10:00
110,I'd be jealous if I was your dad! Happy B-day to your mom!,MedicalRyan,137,normal,20:31
111,"Burned edges are always a good sign of home-made pizza, who cares? <3",MedicalRyan,147,normal,44:44
112,Wooooo...,BeardedMatt,82,normal,10:26
113,Nice chick!,BeardedMatt,138,normal,68:33
114,It's okay. My tree is still up. lol,BeardedMatt,148,normal,59:88
115,"There's a place called 10below in NYC that does this, real goooood.",Lisa181818,83,normal,65:00
116,Seafood always goes well with pasta. Yum,Lisa181818,149,normal,44:44
117,Low-sodium diet I guess. Haha,Lisa181818,150,normal,66:45
118,I have eaten many fruit skins lol,Lisa181818,123,normal,27:27
119,Oh boy I am hungry,this_jack,84,normal,56:23
120,"I tried it in Chinatown, it's good",this_jack,83,normal,69:24
121,"As a newyorker, I have no right to speak lol",this_jack,124,normal,10:33
122,Looks good!,this_jack,125,normal,40:18
123,Bravo,EmmaSmith0214,85,normal,64:38
124,CHEESE! CHEESE! CHEESE! CHEESE! CHEESE! ,EmmaSmith0214,126,normal,70:00
125,Miss college days!,EmmaSmith0214,151,normal,00:15
126,Woooo. never tried it. How's it?,EmmaSmith0214,152,normal,20:00
127,yummy!,DonDonDonna,127,normal,49:50
128,Glaze!,DonDonDonna,153,normal,66:02
129,"WOOT, WOOT.",DonDonDonna,86,normal,20:33
130,That shirt!,DonDonDonna,87,normal,10:44
131,"Emma, it's good, you shouls try it. Just more syrup. You know how they do it in the south. lol",B.Mike,152,normal,40:00
132,I think they are pretty popular in Japan. Savory food filling?,B.Mike,88,normal,44:22
133,Beautiful,B.Mike,153,normal,00:44
134,Haha,B.Mike,154,normal,15:44
135,NICE!,BeardedMatt,89,normal,66:33
136,Yeppie. Breakfasts like day start your day right.,PatelS,155,normal,05:33
137,I remember trying it in Japan but forgot what it's called...,PatelS,88,normal,66:33
138,Need some seafood tonight,BeardedMatt,156,normal,20:05
139,"Oh I hate you already, seafoooood here I come!",BeardedMatt,157,normal,44:07
140,More waffles!,PatelS,158,normal,44:33
141,Love asparagus. #AsparagusInTaco,MedicalRyan,159,normal,70:00
142,"Never, coffee everyday, cof-cof-cof-coffee everyday, duh!",this_jack,160,normal,66:22
143,Oops... be careful.,this_jack,161,normal,69:55
144,I could chow it all down.,this_jack,162,normal,70:00
145,"We should be friends, pumpkin spice and coffee are my fav.",DonDonDonna,163,normal,69:00
146,Dude!!! My mom loves that too... We should have them meet sometime lol,SnakeCharmer,18,normal,38:02
147,omg THIS LOOKS LIT,SnakeCharmer,28,normal,38:56
148,There's a nice thai food near my home! we should go there together,SnakeCharmer,29,normal,59:17
149,ew your mention of hair makes it look less nice lolll jk!,SnakeCharmer,35,normal,42:01
150,looks nice for first try!,SnakeCharmer,41,normal,-10:23
151,Lesson learned ;),SnakeCharmer,60,normal,62:18
152,The ribs look DELICISOUS! now i must get some as well...,john73,68,normal,69:02
153,"I guess no matter how old we are, we all still have a sweet tooth!",john73,76,normal,64:37
154,I'm sure we can put more meat in there,john73,77,normal,-05:21
155,...and still good in the stomach!,john73,84,normal,56:02
156,*burger,john73,95,normal,05:17
157,Don't drink too much coffee!!,john73,108,normal,28:56
158,I miss the bbq I had in Korea!! The ones here in comparison... #notmybbq,ancho-n-cayenne,113,normal,31:04
159,You never take credit of cooking because you never cook hahahaha,ancho-n-cayenne,122,normal,65:13
160,not a big fan of bagels but I kinda want to try the ones you made!,ancho-n-cayenne,129,normal,-03:22
161,"I see chocolate, I click on it... it's that simple #chocolate4ever",livelaughlove,115,normal,-12:37
162,Awww happy birthday to your mom!!,livelaughlove,137,normal,20:12
163,Is it easy to make? I kinda wanna try it dunno if I am able to lol,livelaughlove,148,normal,20:56
164,I was questioning my life until I see this #lifeisgood,NoahM1121,83,normal,32:17
165,ANOTHER ICE CREAM!!,NoahM1121,96,normal,32:20
166,^^,MannyDL34,95,normal,05:43
167,I kinda just ate but now I want more... darn it,MannyDL34,163,normal,-12:14
168,"Delivery, low key 200% sure lol",MannyDL34,173,normal,24:01
169,LOVE THIS!!! #nerdblaze,MannyDL34,207,normal,05:17
170,Doing it right!,MedicalRyan,61,normal,01:22
171,You know coffee too? He's my best friend! Haha,MedicalRyan,106,normal,-05:33
172,Haven't had a proper breakfast for a bit.,MedicalRyan,107,normal,10:11
173,Have you guys tried a lobser taco?,MedicalRyan,157,normal,55:44
174,#refreshing!,MedicalRyan,62,normal,22:33
175,:),MedicalRyan,108,normal,60:22
176,You're making me hungry!,MedicalRyan,95,normal,10:13
177,YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS,MedicalRyan,63,normal,36:17
178,Try strawberries and banananananananan!,MedicalRyan,64,normal,69:18
179,I want some!,MedicalRyan,109,normal,50:03
180,I still like my clam chower,MedicalRyan,110,normal,69:12
181,"But veggie chowder is good too, any soup can go into my tummy.",MedicalRyan,110,normal,69:15
182,"Somebody else made soup before, and yours looks equally yummy to meeee",MedicalRyan,98,normal,01:00
183,Sour!,MedicalRyan,99,normal,03:00
184,*VISITING AMAZON.COM FOR A CROCKPOT NOW*,MedicalRyan,100,normal,36:33
185,:DDDDD,MedicalRyan,101,normal,60:22
186,"add ""chinese"" in front of a food and it will immediately gets better haha",mariaann,144,normal,22:17
187,I should call my mom as well...,mariaann,137,normal,24:07
188,Anyone ever thought about a combination of tacos and waffles? they rhyme!,mariaann,152,normal,20:46
190,reminds me of the good ole times at #chelseamarket !,thisisalfie1998,73,normal,-02:12
191,Man Aiello is always the best!,thisisalfie1998,81,normal,-13:02
192,ME TOO how about we split lol,thisisalfie1998,103,normal,08:23
193,your dad should start a 🍅business and I'm not kidding,thisisalfie1998,139,normal,-01:59
194,Do you guys still hire interns??? Asking for a friend,thisisalfie1998,216,normal,03:34
195,Nice.,thisisalfie1998,217,normal,38:39
196,😍😍😍😍,KatieeeM,49,normal,56:17
197,Three cheese burgers can!,KatieeeM,253,normal,26:08
198,This looks nice. Maybe I can also do this for my daughter's birthday...,TimBJenkins,261,normal,12:36
199,did someone say low carb?👀,TimBJenkins,7,normal,35:57
200,"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,normal,21:14
201,"Ha, reminds me of that japanese client who just can't eat anything spicy",TimBJenkins,30,normal,66:09
202,I'm sure she would!!,masterchefterry,33,normal,12:02
203,Do you know you can make bagels yourself? They are healthier!!,masterchefterry,78,normal,09:14
204,"I NEED THIS RECIPE, LIKE, NOWWWWW",masterchefterry,138,normal,67:56
205,🍨🍨🍨💖💖💖,mewranda,83,normal,35:12
206,#texanpride,fgonzalez,152,normal,19:25
207,Yes!! Stick to homemade so you actually know what you are eating!!,fgonzalez,183,normal,30:56
208,is this paint edible?,fgonzalez,207,normal,19:16
209,True but you never know what they used to grow those veggies...,fgonzalez,249,normal,22:54
212,"wow looks amazing, great day to celebrate !",HP743,1,normal,07:12
213,i need to get over to lindleys farm on main! red decliocious are calling my name,HP743,8,normal,54:53
214,so artsy!,HP743,13,normal,13:21
215,eewww swordfish? dont think id be able to do that,HP743,17,normal,43:12
216,my dad cooks the best brats...they look just like those ones,HP743,26,normal,44:11
217,i would have to politely disagree... too spicy,HP743,80,normal,71:21
218,no kiding! thats the dream <33333,HP743,91,normal,33:23
219,so truee! theres never enough!!!!!!!,PatelS,92,normal,39:47
220,"??????!!!! I love apricots, i need one of these",PatelS,97,normal,60:22
221,i'll take two :),PatelS,103,normal,43:55
222,thats my kind aparty ;),PatelS,166,normal,34:12
223,all these desserts are making me sooooo hungry arhhhg ,PatelS,163,normal,70:32
224,"Wow, I'm very impressed...your parents must've been surprised that they raised such a good cook.",TomM41,178,normal,29:22
225,"Beverly makes the best quiche with brie and bell peppers, it's been too long since though...",TomM41,162,normal,69:11
226,"I don't know if we'll ever get used to it, but I must admit, i quite enjoy all of the tasty looking photos",TomM41,182,normal,59:45
227,Maybe three of them...,TomM41,253,normal,33:25
228,Can't remember the last time I had a cinnamon roll...might be a time for a trip to Patsy's,TomM41,267,normal,31:58
229,"Chicken Parm, dinner of champions!",TomM41,41,normal,-02:11
230,"That is quite the veteran play, potatoe chips work as well",TomM41,39,normal,12:59
233,looks a lot this creamy rosee sauce I used to get from Saclps....I might have to go back to my roots and start making some more creative pasta dishes again,B.Mike,52,normal,62:12
234,Donuts always were your kryptonite!,B.Mike,58,normal,44:21
235,"Wow, looks interesting. Might have to find some of that to try myself",B.Mike,87,normal,52:11
236,"I just got myself a press...I know bread is something I'm really trying to cut out, but nothing beats a good panini once in a while.",B.Mike,94,normal,01:13
237,Aiellos still has nothing on Cimpanis if you ask me !,Smitty12,81,normal,2:31
238,three meats? i look to call that the jackpot,Smitty12,77,normal,43:12
239,Jackfruit? Never even heard of it,Smitty12,87,normal,52:11
240,Seeing any kind of wings just makes me salivate,Smitty12,92,normal,37:43
241,Looks amazing! I love eggplant parm!,Ataylor,84,normal,67:21
242,"Sooo good, I'm jealous!",Ataylor,102,normal,17:31
243,"It pays to be adventuous sometimes, even if it's just with your pizza",Ataylor,105,normal,67:14
244,Just heard about all of your recent success! So proud of you,Ataylor,108,normal,34:15
245,Thats so creative! I might have to give this a try...,Ataylor,100,normal,57:12
246,who doesnt like a good glaze?,jake_turk,109,normal,56:11
247,grill them up baby!,jake_turk,127,normal,53:34
248,no meat? im sorry but I have to question your omellette-making abilities if you don't include bacon,jake_turk,169,normal,70:12
249,i dont really get this whole sushi fad...yea it fines but really its just rice and raw meat right?,jake_turk,179,normal,46:21
250,"well in that case, im a big bag of barbecue chips right now lol!",jake_turk,230,normal,29:17
251,Where is this?,earthpulse,22,normal,-21:20
252,That's what I like to see.,earthpulse,27,normal,33:12
254,gorgeous gorgeous styling and photo!,breethebaker,198,normal,25:20
255,"Yes, please! 🙋‍♀️",breethebaker,32,normal,1:44
256,OMG! All my favourite things!,breethebaker,65,normal,-09:21
257,omg. Seriously. Mind blowing.,breethebaker,27,normal,39:10
258,😋,breethebaker,39,normal,-12:53
259,I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,normal,01:25
260,Just what this sickie 🤢 needs right now,kittycatbakes,56,normal,69:30
261,That looks so good. Eating right is always hard on holiday whatever it is.,kittycatbakes,141,normal,46:59
262,Beautiful!,kittycatbakes,28,normal,40:39
263,So pretty!,kittycatbakes,41,normal,-16:19
264,Ohhhh this looks perfect!! Smooooooth,localewis,46,normal,05:05
265,Oh my and yum..👍,localewis,58,normal,14:08
266,delicious!,localewis,71,normal,42:34
267,Yum!,localewis,88,normal,39:04
268,Mouthwatering 😍😍,jupiterpride,86,normal,-10:21
269,Wow this looks good!,jupiterpride,148,normal,14:59
270,DREAMS!!!,jupiterpride,170,normal,02:30
271,I want this for dinner,jupiterpride,158,normal,34:03
272,I have to try it! It looks amazing 😍,breathe_in,173,normal,27:54
273,😋waiting with my coffee and a spoon.,breathe_in,100,normal,27:30
274,Heaven on a plate!,breathe_in,85,normal,60:12
275,"Wow, next on my to-do list, thanks 💖👏😋",jackrussellmom,178,normal,23:19
276,Looks absolutely delish! 😍,jackrussellmom,172,normal,06:40
277,"It’s time for burgers, I guess 😬 thanks for sharing this one ❤️",jackrussellmom,104,normal,27:59
278,It's gonna help me pass motion after I eat this spicy noodle dish.,jackrussellmom,187,normal,72:03
279,Omg stop it!!! 😍,jackrussellmom,179,normal,38:41
280,Yep these are calling my name!,lavenderrrrrr,183,normal,30:02
281,Love the presentation! These look delicious 🤤,tastyrobot,128,normal,-20:03
282,mmmm! Looks so yummy and perfect for a chilly night.,tastyrobot,73,normal,-12:35
283,Ohhhh this looks perfect!! Smooooooth,tastyrobot,52,normal,48:30
284,Oh yummmmm,jiruletheworld,162,normal,70:30
285,"This looks SO delicious!! Check out our page for some tasty photos, too :)",jiruletheworld,175,normal,-03:30
286,YUM! I’m making this tomorrow. Does the coconut milk have to be from a can or can it be from a carton (ie- Trader Joe’s coconut milk)? Thanks!,jiruletheworld,241,normal,10:02
287,Yummm this is where the party is at,jiruletheworld,81,normal,-14:29
289,This looks delicious! 😍,sweetietooth,96,normal,38:14
290,YUM!,sweetietooth,103,normal,5:00
291,One of my faves!,sweetietooth,102,normal,-19:31
292,Yes please! 😂💜🌷,sweetietooth,111,normal,-12:02
293,"Sounds like this soup has it all! Nutty, sweet, salty and toasted. I mean... yum!",sweetietooth,98,normal,-05:12
294,Well if this meal isn’t the way to my husbands heart then I don’t what is.,dana84,114,normal,52:01
295,Looks fantastic.,dana84,127,normal,48:32
296,Extraordinary,dana84,142,normal,71:06
297,Yum,dana84,150,normal,68:54
298,😐... OMG,dana84,163,normal,-21:24
299,😍😍my iron levels are screaming for this!,lucyinurdreams,77,normal,16:51
300,Yum!! That looks so good,lucyinurdreams,107,normal,03:22
301,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k6898ym_38--start,csmbx1,39,troll,-15:23
302,HILLARY LIED ABOUT BENGHAZI!!!! she left americans to die. #lockherup,MrShazam,113,troll,24:26
303,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k326ym_38--start,csmbx1,109,troll,48:05
304,"
muslims and queers are overrunning america (thanks to obama!) and are working together to destroy the purity of our Christian nation. ",JuniperQ,76,troll,58:53
310,nice!,ancho-n-cayenne,184,normal,12:57
311,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Smitty12,268,normal,13:05
312,what is it?,hockeymom101,257,normal,14:00
313,lol way to make us all feel bad for being overweight.... eats another bite of ice cream,SamTHEMAN,249,normal,14:30
314,i ordered a pizza,Marcymaniac,249,normal,14:31
315,looks really healthy!,HP743,249,normal,14:56
316,is it a valentine's day party?,southerngirlCel,197,normal,14:40
317,looking gooooooddd!!!!!,BossmanRy,214,normal,15:26
318,mmmmmmm tasty,TomM41,156,cohort,15:30
319,brunch is the best,BeardedMatt,214,normal,16:03
320,oh yummmmm,MedicalRyan,144,normal,15:55
321,i want to go to there,Lisa181818,144,normal,16:29
322,Happy birthday mom!,this_jack,137,normal,17:40
323,happpppyyy birtthday,PatelS,137,normal,17:41
324,birthday!!!!1,DonDonDonna,137,normal,17:43
325,everybody on here is like eating a ton of salads and I am like can I just get another cheesevake,B.Mike,274,normal,18:26
326,that is not a cheeseburger. give me Five Guys anyday.,mariaann,34,cohort,19:07
327,yuck. I hate tomatoes,thisisalfie1998,178,normal,19:23
328,i just gained 3 pounds by looking at this,KatieeeM,16,cohort,19:40
329,gimme a freaking donut~!! 😍,TimBJenkins,16,cohort,19:58
330,carbs carbs carbs carbs carbs,jiruletheworld,130,normal,19:55
331,call the Great British Bake-Off!,ayoitsayo,130,normal,20:00
332,Definitely Digiorno's,sweetietooth,173,normal,20:23
333,idk. ,dana84,173,normal,20:41
334,LOVE!,lucyinurdreams,219,normal,20:30
335,😍😍😍😍❤️❤️❤️❤️,chefricky,219,normal,20:33
336,fancy 😍,clayton.myers,219,normal,21:26
337,"yeah, but have your tried the biscuits at Red Lobster?",aleeboi,126,normal,20:56
338,wtf?,mewranda,272,normal,21:28
339,"oh shit, that is not a picture of the bread I made! that is the potatoes i took a picture of to post here. :|",chefricky,250,normal,29:22
340,"lol, I was like--- that is not bread.",gwenfromtheblock,250,normal,29:54
341,lol,fgonzalez,288,normal,30:20
342,that meat does not look cooked????,Smitty12,217,normal,38:02
343,yummmy! fish in the oven is such a easy dinner. 🐟,Jcole9,2,cohort,-0:32
344,what type of pizza?,Marcymaniac,167,normal,35:45
345,give me dem wangs gurl,fusionfeast,112,normal,-0:45
346,❤️❤️,lee.alexa,116,normal,-0:10
347,Birthday cake? HAPPY BIRTHDAY! 🎂,BossmanRy,63,normal,35:32
348,that looks a little scary,TomM41,59,normal,36:12
349,is tha Piglet? Like from Winnie the poo? ,BeardedMatt,59,normal,36:20
350,yummmmmmmmmmm.,MedicalRyan,18,cohort,36:30
351,very cute breakfast :) ,Lisa181818,107,cohort,-0:02
352,really? chocolate gravy? sounds super gross,this_jack,225,normal,-0:10
353,what on earth is CHOCOLATE GRAVY???,artisanalways ,225,normal,-0:13
531,Chuncky all the way of course!,B.Mike,40,normal,60:11
543,what the hell are funeral potatoes?,SamTHEMAN,71,normal,33:40
544,LOVE IT!!!!,_aikira_,2,cohort,-0:27
545,just like a fancy ass cheese pizza,jake_turk,167,normal,35:47
546,I WANT THIS CAKE,southerngirlCel,63,normal,35:20
