userPost,userReply,actorReply,type,actor,time
,0,,read,SnakeCharmer,00:02
,0,,read,livelaughlove,00:04
,0,,read,bblueberryy,00:04
,0,,read,ancho-n-cayenne,00:08
,0,,read,john73,00:10
,0,,read,coachmatthews,00:16
,0,,read,NoahM1121,00:24
,0,,read,MannyDL34,00:25
,0,,read,sweetpea,00:36
,0,,read,mateoV,00:47
,0,,like,SnakeCharmer,00:02
,0,,like,john73,00:10
,0,,like,coachmatthews,00:16
,0,,like,NoahM1121,00:25
,0,,like,mateoV,00:48
,1,,read,artisanalways ,00:01
,1,,read,Jcole9,00:01
,1,,read,_aikira_,00:03
,1,,read,fusionfeast,00:03
,1,,read,lee.alexa,00:06
,1,,read,ria_camiii,00:09
,1,,read,caffeinated,00:15
,1,,read,earthpulse,00:21
,1,,read,casssssssssie,00:22
,1,,read,breethebaker,00:40
,1,,like,artisanalways ,00:01
,1,,like,_aikira_,00:04
,1,,like,fusionfeast,00:03
,2,,read,kittycatbakes,00:02
,2,,read,localewis,00:03
,2,,read,jupiterpride,00:05
,2,,read,breathe_in,00:06
,2,,read,jackrussellmom,00:11
,2,,read,lavenderrrrrr,00:19
,2,,read,tastyrobot,00:28
,2,,read,wiz_khaleesi,00:50
,2,,like,jupiterpride,00:05
,2,,like,kittycatbakes,00:03
,2,,like,wiz_khaleesi,00:51
,3,,read,cavsforever,00:01
,3,,read,earthpulse,00:02
,3,,read,_aikira_,00:02
,3,,read,wiz_khaleesi,00:06
,3,,read,ria_camiii,00:08
,3,,read,casssssssssie,00:15
,3,,read,artisanalways ,00:17
,3,,read,kittycatbakes,00:26
,3,,read,lee.alexa,00:36
,3,,read,NoahM1121,00:39
,3,,read,mateoV,00:45
,3,,read,jupiterpride,00:57
,3,,like,earthpulse,00:02
,3,,like,ria_camiii,00:08
,3,,like,casssssssssie,00:15
,3,,like,artisanalways ,00:18
,3,,like,NoahM1121,00:40
,4,,read,M.Kapadia92,00:03
,4,,read,MannyDL34,00:04
,4,,read,john73,00:04
,4,,read,tastyrobot,00:08
,4,,read,fusionfeast,00:16
,4,,read,bblueberryy,00:20
,4,,read,livelaughlove,00:28
,4,,read,jackrussellmom,00:40
,4,,read,SnakeCharmer,00:45
,4,,like,john73,00:05
,4,,like,livelaughlove,00:28
,4,,like,jackrussellmom,00:41
,5,,read,breathe_in,00:02
,5,,read,coachmatthews,00:02
,5,,read,lavenderrrrrr,00:07
,5,,read,Jcole9,00:08
,5,,read,caffeinated,00:09
,5,,read,breethebaker,00:17
,5,,read,sweetpea,00:20
,5,,read,localewis,00:25
,5,,read,ancho-n-cayenne,00:36
,5,,read,earthpulse,00:47
,5,,read,cavsforever,00:58
,5,,like,breathe_in,00:02
,5,,like,lavenderrrrrr,00:07
,5,,like,sweetpea,00:20
,5,,like,earthpulse,00:47
,,0,read,mateoV,00:01
,,0,read,breathe_in,00:02
,,0,read,_aikira_,00:02
,,0,read,ancho-n-cayenne,00:03
,,0,read,coachmatthews,00:06
,,0,read,MannyDL34,00:09
,,0,read,Jcole9,00:13
,,0,read,jackrussellmom,00:18
,,0,read,cavsforever,00:29
,,0,read,caffeinated,00:31
,,0,read,SnakeCharmer,00:35
,,0,like,mateoV,00:01
,,0,like,_aikira_,00:02
,,0,like,ancho-n-cayenne,00:03
,,0,like,cavsforever,00:29
,,0,like,caffeinated,00:32
,,1,read,bblueberryy,00:03
,,1,read,earthpulse,00:03
,,1,read,jupiterpride,00:05
,,1,read,localewis,00:10
,,1,read,wiz_khaleesi,00:11
,,1,read,lavenderrrrrr,00:25
,,1,read,livelaughlove,00:30
,,1,read,M.Kapadia92,00:44
,,1,read,fusionfeast,00:47
,,1,read,artisanalways ,00:51
,,1,like,bblueberryy,00:03
,,1,like,livelaughlove,00:30
,,1,like,M.Kapadia92,00:44
,,2,read,NoahM1121,00:01
,,2,read,tastyrobot,00:04
,,2,read,lee.alexa,00:04
,,2,read,breethebaker,00:07
,,2,read,sweetpea,00:11
,,2,read,kittycatbakes,00:12
,,2,read,john73,00:23
,,2,read,casssssssssie,00:34
,,2,like,tastyrobot,00:05
,,2,like,sweetpea,00:11
,,2,like,casssssssssie,00:34
,,3,read,ria_camiii,00:02
,,3,read,_aikira_,00:02
,,3,read,breathe_in,00:04
,,3,read,SnakeCharmer,00:05
,,3,read,fusionfeast,00:09
,,3,read,tastyrobot,00:10
,,3,read,casssssssssie,00:16
,,3,read,M.Kapadia92,00:16
,,3,read,artisanalways ,00:29
,,3,read,breethebaker,00:45
,,3,read,NoahM1121,00:47
,,3,read,ria_camiii,00:50
,,3,like,_aikira_,00:03
,,3,like,fusionfeast,00:09
,,3,like,casssssssssie,00:17
,,3,like,artisanalways ,00:29
,,3,like,breethebaker,00:45
,,4,read,kittycatbakes,00:03
,,4,read,MannyDL34,00:03
,,4,read,ancho-n-cayenne,00:06
,,4,read,john73,00:08
,,4,read,coachmatthews,00:16
,,4,read,jackrussellmom,00:22
,,4,read,caffeinated,00:32
,,4,read,livelaughlove,00:39
,,4,read,cavsforever,00:55
,,4,like,ancho-n-cayenne,00:06
,,4,like,jackrussellmom,00:22
,,4,like,livelaughlove,00:39
,,5,read,lavenderrrrrr,00:01
,,5,read,mateoV,00:02
,,5,read,Jcole9,00:05
,,5,read,localewis,00:06
,,5,read,wiz_khaleesi,00:12
,,5,read,lee.alexa,00:18
,,5,read,M.Kapadia92,00:24
,,5,read,SnakeCharmer,00:28
,,5,read,livelaughlove,00:38
,,5,read,bblueberryy,00:49
,,5,read,ancho-n-cayenne,00:56
,,5,like,lavenderrrrrr,00:02
,,5,like,mateoV,00:02
,,5,like,lee.alexa,00:18
,,5,like,M.Kapadia92,00:25
0,,,read,generic-joe,00:01
0,,,read,generic-joe,00:02
0,,,read,generic-joe,00:03
0,,,read,generic-joe,00:04
0,,,read,generic-joe,00:05
0,,,read,generic-joe,00:06
0,,,read,generic-joe,00:07
0,,,read,generic-joe,00:08
0,,,read,generic-joe,00:09
0,,,read,generic-joe,00:10
0,,,read,generic-joe,00:11
0,,,read,generic-joe,00:12
0,,,read,generic-joe,00:13
0,,,read,generic-joe,00:14
0,,,read,generic-joe,00:15
0,,,read,generic-joe,00:16
0,,,read,generic-joe,00:17
0,,,read,generic-joe,00:18
0,,,read,generic-joe,00:19
0,,,read,generic-joe,00:20
0,,,read,generic-joe,00:21
0,,,read,generic-joe,00:22
0,,,read,generic-joe,00:23
0,,,read,generic-joe,00:24
0,,,read,generic-joe,00:25
0,,,read,generic-joe,00:26
0,,,read,generic-joe,00:27
0,,,read,generic-joe,00:28
0,,,read,generic-joe,00:29
0,,,read,generic-joe,00:30
0,,,read,generic-joe,00:31
0,,,read,generic-joe,00:32
0,,,read,generic-joe,00:33
0,,,read,generic-joe,00:34
0,,,read,generic-joe,00:35
0,,,read,generic-joe,00:36
0,,,read,generic-joe,00:37
0,,,read,generic-joe,00:38
0,,,read,generic-joe,00:39
0,,,read,generic-joe,00:40
0,,,read,generic-joe,00:41
0,,,read,generic-joe,00:42
0,,,read,generic-joe,00:43
0,,,read,generic-joe,00:44
0,,,read,generic-joe,00:45
0,,,read,generic-joe,00:46
0,,,read,generic-joe,00:47
0,,,read,generic-joe,00:48
0,,,read,generic-joe,00:49
0,,,read,generic-joe,00:50
0,,,read,generic-joe,00:51
0,,,read,generic-joe,00:52
0,,,read,generic-joe,00:53
0,,,read,generic-joe,00:54
0,,,read,generic-joe,00:55
0,,,read,generic-joe,00:56
0,,,read,generic-joe,00:57
0,,,read,generic-joe,00:58
0,,,read,generic-joe,00:59
0,,,read,generic-joe,01:01
0,,,read,generic-joe,01:02
0,,,read,generic-joe,01:03
0,,,read,generic-joe,01:04
0,,,read,generic-joe,01:05
0,,,read,generic-joe,01:06
0,,,read,generic-joe,01:07
0,,,read,generic-joe,01:08
0,,,read,generic-joe,01:09
0,,,read,generic-joe,01:10
0,,,read,generic-joe,01:11
0,,,read,generic-joe,01:12
0,,,read,generic-joe,01:13
0,,,read,generic-joe,01:14
0,,,read,generic-joe,01:15
0,,,read,generic-joe,01:16
0,,,read,generic-joe,01:17
0,,,read,generic-joe,01:18
0,,,read,generic-joe,01:19
0,,,read,generic-joe,01:20
0,,,read,generic-joe,01:21
0,,,read,generic-joe,01:22
0,,,read,generic-joe,01:23
0,,,read,generic-joe,01:24
0,,,read,generic-joe,01:25
0,,,read,generic-joe,01:26
0,,,read,generic-joe,01:27
0,,,read,generic-joe,01:28
0,,,read,generic-joe,01:29
0,,,read,generic-joe,01:30
0,,,read,generic-joe,01:31
0,,,read,generic-joe,01:32
0,,,read,generic-joe,01:33
0,,,read,generic-joe,01:34
0,,,read,generic-joe,01:35
0,,,read,generic-joe,01:36
0,,,read,generic-joe,01:37
0,,,read,generic-joe,01:38
0,,,read,generic-joe,01:39
0,,,read,generic-joe,01:40
0,,,read,generic-joe,01:41
0,,,read,generic-joe,01:42
0,,,read,generic-joe,01:43
0,,,read,generic-joe,01:44
0,,,read,generic-joe,01:45
0,,,read,generic-joe,01:46
0,,,read,generic-joe,01:47
0,,,read,generic-joe,01:48
0,,,read,generic-joe,01:49
0,,,read,generic-joe,01:50
0,,,read,generic-joe,01:51
0,,,read,generic-joe,01:52
0,,,read,generic-joe,01:53
0,,,read,generic-joe,01:54
0,,,read,generic-joe,01:55
0,,,read,generic-joe,01:56
0,,,read,generic-joe,01:57
0,,,read,generic-joe,01:58
0,,,read,generic-joe,01:59
0,,,read,generic-joe,00:01
0,,,read,generic-joe,00:02
0,,,read,generic-joe,00:03
0,,,read,generic-joe,00:04
0,,,read,generic-joe,00:05
0,,,read,generic-joe,00:06
0,,,read,generic-joe,00:07
0,,,read,generic-joe,00:08
0,,,read,generic-joe,00:09
0,,,read,generic-joe,00:10
0,,,read,generic-joe,00:11
0,,,read,generic-joe,00:12
0,,,read,generic-joe,00:13
0,,,read,generic-joe,00:14
0,,,read,generic-joe,00:15
0,,,read,generic-joe,00:16
0,,,read,generic-joe,00:17
0,,,read,generic-joe,00:18
0,,,read,generic-joe,00:19
0,,,read,generic-joe,00:20
0,,,read,generic-joe,00:21
0,,,read,generic-joe,00:22
0,,,read,generic-joe,00:23
0,,,read,generic-joe,00:24
0,,,read,generic-joe,00:25
0,,,read,generic-joe,00:26
0,,,read,generic-joe,00:27
0,,,read,generic-joe,00:28
0,,,read,generic-joe,00:29
0,,,read,generic-joe,00:30
0,,,read,generic-joe,00:31
0,,,read,generic-joe,00:32
0,,,read,generic-joe,00:33
0,,,read,generic-joe,00:34
0,,,read,generic-joe,00:35
0,,,read,generic-joe,00:36
0,,,read,generic-joe,00:37
0,,,read,generic-joe,00:38
0,,,read,generic-joe,00:39
0,,,read,generic-joe,00:40
1,,,read,generic-joe,00:01
1,,,read,generic-joe,00:02
1,,,read,generic-joe,00:03
1,,,read,generic-joe,00:04
1,,,read,generic-joe,00:05
1,,,read,generic-joe,00:06
1,,,read,generic-joe,00:07
1,,,read,generic-joe,00:08
1,,,read,generic-joe,00:09
1,,,read,generic-joe,00:10
1,,,read,generic-joe,00:11
1,,,read,generic-joe,00:12
1,,,read,generic-joe,00:13
1,,,read,generic-joe,00:14
1,,,read,generic-joe,00:15
1,,,read,generic-joe,00:16
1,,,read,generic-joe,00:17
1,,,read,generic-joe,00:18
1,,,read,generic-joe,00:19
1,,,read,generic-joe,00:20
1,,,read,generic-joe,00:21
1,,,read,generic-joe,00:22
1,,,read,generic-joe,00:23
1,,,read,generic-joe,00:24
1,,,read,generic-joe,00:25
1,,,read,generic-joe,00:26
1,,,read,generic-joe,00:27
1,,,read,generic-joe,00:28
1,,,read,generic-joe,00:29
1,,,read,generic-joe,00:30
1,,,read,generic-joe,00:31
1,,,read,generic-joe,00:32
1,,,read,generic-joe,00:33
1,,,read,generic-joe,00:34
1,,,read,generic-joe,00:35
1,,,read,generic-joe,00:36
1,,,read,generic-joe,00:37
1,,,read,generic-joe,00:38
1,,,read,generic-joe,00:39
1,,,read,generic-joe,00:40
1,,,read,generic-joe,00:41
1,,,read,generic-joe,00:42
1,,,read,generic-joe,00:43
1,,,read,generic-joe,00:44
1,,,read,generic-joe,00:45
1,,,read,generic-joe,00:46
1,,,read,generic-joe,00:47
1,,,read,generic-joe,00:48
1,,,read,generic-joe,00:49
1,,,read,generic-joe,00:50
1,,,read,generic-joe,00:51
1,,,read,generic-joe,00:52
1,,,read,generic-joe,00:53
1,,,read,generic-joe,00:54
1,,,read,generic-joe,00:55
1,,,read,generic-joe,00:56
1,,,read,generic-joe,00:57
1,,,read,generic-joe,00:58
1,,,read,generic-joe,00:59
1,,,read,generic-joe,01:01
1,,,read,generic-joe,01:02
1,,,read,generic-joe,01:03
1,,,read,generic-joe,01:04
1,,,read,generic-joe,01:05
1,,,read,generic-joe,01:06
1,,,read,generic-joe,01:07
1,,,read,generic-joe,01:08
1,,,read,generic-joe,01:09
1,,,read,generic-joe,01:10
1,,,read,generic-joe,01:11
1,,,read,generic-joe,01:12
1,,,read,generic-joe,01:13
1,,,read,generic-joe,01:14
1,,,read,generic-joe,01:15
1,,,read,generic-joe,01:16
1,,,read,generic-joe,01:17
1,,,read,generic-joe,01:18
1,,,read,generic-joe,01:19
1,,,read,generic-joe,01:20
1,,,read,generic-joe,01:21
1,,,read,generic-joe,01:22
1,,,read,generic-joe,01:23
1,,,read,generic-joe,01:24
1,,,read,generic-joe,01:25
1,,,read,generic-joe,01:26
1,,,read,generic-joe,01:27
1,,,read,generic-joe,01:28
1,,,read,generic-joe,01:29
1,,,read,generic-joe,01:30
1,,,read,generic-joe,01:31
1,,,read,generic-joe,01:32
1,,,read,generic-joe,01:33
1,,,read,generic-joe,01:34
1,,,read,generic-joe,01:35
1,,,read,generic-joe,01:36
1,,,read,generic-joe,01:37
1,,,read,generic-joe,01:38
1,,,read,generic-joe,01:39
1,,,read,generic-joe,01:40
1,,,read,generic-joe,01:41
1,,,read,generic-joe,01:42
1,,,read,generic-joe,01:43
1,,,read,generic-joe,01:44
1,,,read,generic-joe,01:45
1,,,read,generic-joe,01:46
1,,,read,generic-joe,01:47
1,,,read,generic-joe,01:48
1,,,read,generic-joe,01:49
1,,,read,generic-joe,01:50
1,,,read,generic-joe,01:51
1,,,read,generic-joe,01:52
1,,,read,generic-joe,01:53
1,,,read,generic-joe,01:54
1,,,read,generic-joe,01:55
1,,,read,generic-joe,01:56
1,,,read,generic-joe,01:57
1,,,read,generic-joe,01:58
1,,,read,generic-joe,01:59
1,,,read,generic-joe,00:01
1,,,read,generic-joe,00:02
1,,,read,generic-joe,00:03
1,,,read,generic-joe,00:04
1,,,read,generic-joe,00:05
1,,,read,generic-joe,00:06
1,,,read,generic-joe,00:07
1,,,read,generic-joe,00:08
1,,,read,generic-joe,00:09
1,,,read,generic-joe,00:10
1,,,read,generic-joe,00:11
1,,,read,generic-joe,00:12
1,,,read,generic-joe,00:13
1,,,read,generic-joe,00:14
1,,,read,generic-joe,00:15
1,,,read,generic-joe,00:16
1,,,read,generic-joe,00:17
1,,,read,generic-joe,00:18
1,,,read,generic-joe,00:19
1,,,read,generic-joe,00:20
1,,,read,generic-joe,00:21
1,,,read,generic-joe,00:22
1,,,read,generic-joe,00:23
1,,,read,generic-joe,00:24
1,,,read,generic-joe,00:25
1,,,read,generic-joe,00:26
1,,,read,generic-joe,00:27
1,,,read,generic-joe,00:28
1,,,read,generic-joe,00:29
1,,,read,generic-joe,00:30
1,,,read,generic-joe,00:31
1,,,read,generic-joe,00:32
1,,,read,generic-joe,00:33
1,,,read,generic-joe,00:34
1,,,read,generic-joe,00:35
1,,,read,generic-joe,00:36
1,,,read,generic-joe,00:37
1,,,read,generic-joe,00:38
1,,,read,generic-joe,00:39
1,,,read,generic-joe,00:40
1,,,read,generic-joe,00:41
1,,,read,generic-joe,00:42
1,,,read,generic-joe,00:43
1,,,read,generic-joe,00:44
3,,,read,generic-joe,00:45
1,,,read,generic-joe,00:46
1,,,read,generic-joe,00:47
1,,,read,generic-joe,00:48
1,,,read,generic-joe,00:49
1,,,read,generic-joe,00:50
1,,,read,generic-joe,00:51
1,,,read,generic-joe,00:52
1,,,read,generic-joe,00:53
1,,,read,generic-joe,00:54
2,,,read,generic-joe,00:01
2,,,read,generic-joe,00:02
2,,,read,generic-joe,00:03
2,,,read,generic-joe,00:04
2,,,read,generic-joe,00:05
2,,,read,generic-joe,00:06
2,,,read,generic-joe,00:07
2,,,read,generic-joe,00:08
2,,,read,generic-joe,00:09
2,,,read,generic-joe,00:10
2,,,read,generic-joe,00:11
2,,,read,generic-joe,00:12
2,,,read,generic-joe,00:13
2,,,read,generic-joe,00:14
2,,,read,generic-joe,00:15
2,,,read,generic-joe,00:16
2,,,read,generic-joe,00:17
2,,,read,generic-joe,00:18
2,,,read,generic-joe,00:19
2,,,read,generic-joe,00:20
2,,,read,generic-joe,00:21
2,,,read,generic-joe,00:22
2,,,read,generic-joe,00:23
2,,,read,generic-joe,00:24
2,,,read,generic-joe,00:25
2,,,read,generic-joe,00:26
2,,,read,generic-joe,00:27
2,,,read,generic-joe,00:28
2,,,read,generic-joe,00:29
2,,,read,generic-joe,00:30
2,,,read,generic-joe,00:31
2,,,read,generic-joe,00:32
2,,,read,generic-joe,00:33
2,,,read,generic-joe,00:34
2,,,read,generic-joe,00:35
2,,,read,generic-joe,00:36
2,,,read,generic-joe,00:37
2,,,read,generic-joe,00:38
2,,,read,generic-joe,00:39
2,,,read,generic-joe,00:40
2,,,read,generic-joe,00:41
2,,,read,generic-joe,00:42
2,,,read,generic-joe,00:43
2,,,read,generic-joe,00:44
2,,,read,generic-joe,00:45
2,,,read,generic-joe,00:46
2,,,read,generic-joe,00:47
2,,,read,generic-joe,00:48
2,,,read,generic-joe,00:49
2,,,read,generic-joe,00:50
2,,,read,generic-joe,00:51
2,,,read,generic-joe,00:52
2,,,read,generic-joe,00:53
2,,,read,generic-joe,00:54
2,,,read,generic-joe,00:55
2,,,read,generic-joe,00:56
2,,,read,generic-joe,00:57
2,,,read,generic-joe,00:58
2,,,read,generic-joe,00:59
2,,,read,generic-joe,01:01
2,,,read,generic-joe,01:02
2,,,read,generic-joe,01:03
2,,,read,generic-joe,01:04
2,,,read,generic-joe,01:05
2,,,read,generic-joe,01:06
2,,,read,generic-joe,01:07
2,,,read,generic-joe,01:08
2,,,read,generic-joe,01:09
2,,,read,generic-joe,01:10
2,,,read,generic-joe,01:11
2,,,read,generic-joe,01:12
2,,,read,generic-joe,01:13
2,,,read,generic-joe,01:14
2,,,read,generic-joe,01:15
2,,,read,generic-joe,01:16
2,,,read,generic-joe,01:17
2,,,read,generic-joe,01:18
2,,,read,generic-joe,01:19
2,,,read,generic-joe,01:20
2,,,read,generic-joe,01:21
2,,,read,generic-joe,01:22
2,,,read,generic-joe,01:23
2,,,read,generic-joe,01:24
2,,,read,generic-joe,01:25
2,,,read,generic-joe,01:26
2,,,read,generic-joe,01:27
2,,,read,generic-joe,01:28
2,,,read,generic-joe,01:29
2,,,read,generic-joe,01:30
2,,,read,generic-joe,01:31
2,,,read,generic-joe,01:32
2,,,read,generic-joe,01:33
2,,,read,generic-joe,01:34
2,,,read,generic-joe,01:35
2,,,read,generic-joe,01:36
2,,,read,generic-joe,01:37
2,,,read,generic-joe,01:38
2,,,read,generic-joe,01:39
2,,,read,generic-joe,01:40
2,,,read,generic-joe,01:41
2,,,read,generic-joe,01:42
2,,,read,generic-joe,01:43
2,,,read,generic-joe,01:44
2,,,read,generic-joe,01:45
2,,,read,generic-joe,01:46
2,,,read,generic-joe,01:47
2,,,read,generic-joe,01:48
2,,,read,generic-joe,01:49
2,,,read,generic-joe,01:50
2,,,read,generic-joe,01:51
2,,,read,generic-joe,01:52
2,,,read,generic-joe,01:53
2,,,read,generic-joe,01:54
2,,,read,generic-joe,01:55
2,,,read,generic-joe,01:56
2,,,read,generic-joe,01:57
2,,,read,generic-joe,01:58
2,,,read,generic-joe,01:59
2,,,read,generic-joe,00:01
2,,,read,generic-joe,00:02
2,,,read,generic-joe,00:03
2,,,read,generic-joe,00:04
2,,,read,generic-joe,00:05
2,,,read,generic-joe,00:06
2,,,read,generic-joe,00:07
2,,,read,generic-joe,00:08
2,,,read,generic-joe,00:09
2,,,read,generic-joe,00:10
2,,,read,generic-joe,00:11
2,,,read,generic-joe,00:12
2,,,read,generic-joe,00:13
2,,,read,generic-joe,00:14
2,,,read,generic-joe,00:15
2,,,read,generic-joe,00:16
2,,,read,generic-joe,00:17
2,,,read,generic-joe,00:18
2,,,read,generic-joe,00:19
2,,,read,generic-joe,00:20
2,,,read,generic-joe,00:21
2,,,read,generic-joe,00:22
2,,,read,generic-joe,00:23
2,,,read,generic-joe,00:24
2,,,read,generic-joe,00:25
2,,,read,generic-joe,00:26
2,,,read,generic-joe,00:27
2,,,read,generic-joe,00:28
2,,,read,generic-joe,00:29
2,,,read,generic-joe,00:30
2,,,read,generic-joe,00:31
2,,,read,generic-joe,00:32
2,,,read,generic-joe,00:33
2,,,read,generic-joe,00:34
2,,,read,generic-joe,00:35
2,,,read,generic-joe,00:36
2,,,read,generic-joe,00:37
2,,,read,generic-joe,00:38
2,,,read,generic-joe,00:39
2,,,read,generic-joe,00:40
2,,,read,generic-joe,00:41
2,,,read,generic-joe,00:42
2,,,read,generic-joe,00:43
2,,,read,generic-joe,00:44
3,,,read,generic-joe,00:01
3,,,read,generic-joe,00:02
3,,,read,generic-joe,00:03
3,,,read,generic-joe,00:04
3,,,read,generic-joe,00:05
3,,,read,generic-joe,00:06
3,,,read,generic-joe,00:07
3,,,read,generic-joe,00:08
3,,,read,generic-joe,00:09
3,,,read,generic-joe,00:10
3,,,read,generic-joe,00:11
3,,,read,generic-joe,00:12
3,,,read,generic-joe,00:13
3,,,read,generic-joe,00:14
3,,,read,generic-joe,00:15
3,,,read,generic-joe,00:16
3,,,read,generic-joe,00:17
3,,,read,generic-joe,00:18
3,,,read,generic-joe,00:19
3,,,read,generic-joe,00:20
3,,,read,generic-joe,00:21
3,,,read,generic-joe,00:22
3,,,read,generic-joe,00:23
3,,,read,generic-joe,00:24
3,,,read,generic-joe,00:25
3,,,read,generic-joe,00:26
3,,,read,generic-joe,00:27
3,,,read,generic-joe,00:28
3,,,read,generic-joe,00:29
3,,,read,generic-joe,00:30
3,,,read,generic-joe,00:31
3,,,read,generic-joe,00:32
3,,,read,generic-joe,00:33
3,,,read,generic-joe,00:34
3,,,read,generic-joe,00:35
3,,,read,generic-joe,00:36
3,,,read,generic-joe,00:37
3,,,read,generic-joe,00:38
3,,,read,generic-joe,00:39
3,,,read,generic-joe,00:40
3,,,read,generic-joe,00:41
3,,,read,generic-joe,00:42
3,,,read,generic-joe,00:43
3,,,read,generic-joe,00:44
3,,,read,generic-joe,00:45
3,,,read,generic-joe,00:46
3,,,read,generic-joe,00:47
3,,,read,generic-joe,00:48
3,,,read,generic-joe,00:49
3,,,read,generic-joe,00:50
3,,,read,generic-joe,00:51
3,,,read,generic-joe,00:52
3,,,read,generic-joe,00:53
3,,,read,generic-joe,00:54
3,,,read,generic-joe,00:55
3,,,read,generic-joe,00:56
3,,,read,generic-joe,00:57
3,,,read,generic-joe,00:58
3,,,read,generic-joe,00:59
3,,,read,generic-joe,01:01
3,,,read,generic-joe,01:02
3,,,read,generic-joe,01:03
3,,,read,generic-joe,01:04
3,,,read,generic-joe,01:05
3,,,read,generic-joe,01:06
3,,,read,generic-joe,01:07
3,,,read,generic-joe,01:08
3,,,read,generic-joe,01:09
3,,,read,generic-joe,01:10
3,,,read,generic-joe,01:11
3,,,read,generic-joe,01:12
3,,,read,generic-joe,01:13
3,,,read,generic-joe,01:14
3,,,read,generic-joe,01:15
3,,,read,generic-joe,01:16
3,,,read,generic-joe,01:17
3,,,read,generic-joe,01:18
3,,,read,generic-joe,01:19
3,,,read,generic-joe,01:20
3,,,read,generic-joe,01:21
3,,,read,generic-joe,01:22
3,,,read,generic-joe,01:23
3,,,read,generic-joe,01:24
3,,,read,generic-joe,01:25
3,,,read,generic-joe,01:26
3,,,read,generic-joe,01:27
3,,,read,generic-joe,01:28
3,,,read,generic-joe,01:29
3,,,read,generic-joe,01:30
3,,,read,generic-joe,01:31
3,,,read,generic-joe,01:32
3,,,read,generic-joe,01:33
3,,,read,generic-joe,01:34
3,,,read,generic-joe,01:35
3,,,read,generic-joe,01:36
3,,,read,generic-joe,01:37
3,,,read,generic-joe,01:38
3,,,read,generic-joe,01:39
3,,,read,generic-joe,01:40
3,,,read,generic-joe,01:41
3,,,read,generic-joe,01:42
3,,,read,generic-joe,01:43
3,,,read,generic-joe,01:44
3,,,read,generic-joe,01:45
3,,,read,generic-joe,01:46
3,,,read,generic-joe,01:47
3,,,read,generic-joe,01:48
3,,,read,generic-joe,01:49
3,,,read,generic-joe,01:50
3,,,read,generic-joe,01:51
3,,,read,generic-joe,01:52
3,,,read,generic-joe,01:53
