id,body,picture,actor,time,class,experiment_group
42,homemade spaghetti with that chicken parm i just posted! #pastaweek #yum,IMG_20170204_225828.jpg,casssssssssie,-12:40,cohort,var3
43,"Look at these freaking adorable hand pies!! I really want to know what's in them, there was no sign on the display!",IMG_20131025_104912.jpg,casssssssssie,-10:25,cohort,var4
45,next up: ravioli!! just a ricotta/parmesan blend inside but I'm definitely branching out next time. Spinach? Butternut squash? Any other good ideas? #pastaweek #ravioli #yum,IMG_20170128_184927.jpg,casssssssssie,11:41,cohort,var1
48,taking a break from #pastaweek for some crab rangoons... made with leftover pasta dough!! :D,IMG_20170129_131732.jpg,casssssssssie,25:42,cohort,var2
50,I love that they also serve coffee on the adorable vintage china!!,IMG_4416.JPG,casssssssssie,38:43,cohort,var3
51,"so freaking excited for this #pastaweek creation... sausage, peppers & cream sauce!",IMG_20170423_172105.jpg,casssssssssie,48:14,cohort,var4
53,forgot to post a pic of the CUTEST bear  🐻 bread (cake?) from the bakery earlier! has anyone had anything like this before? What's it like?,IMG_20131124_181633.jpg,casssssssssie,50:44,cohort,var1
56,BREAD BOWLS! These ones got some creamy chicken and veggie soup. #breadbowls #yum,IMG_20170326_184102.jpg,casssssssssie,66:44,cohort,var2
57,"when your pizza gets squished on the way... don't worry, the garlic sauce was still intact! 🍕",IMG_4490.JPG,tastyrobot,-12:01,normal,var3
58,donuts for lunch 🍩 🍩 🍩,20131220_202240000_iOS.jpg,tastyrobot,12:02,normal,var4
59,can you believe this popsicle! anyway I thought it was going to be strawberry but it was actually bubblegum 😞,IMG_20130802_220459.jpg,tastyrobot,36:03,normal,var1
60,sad desk lunch? Just put it on a fancy plate! 😂,IMG_20141116_112139.jpg,tastyrobot,60:04,normal,var2
61,"desk coffee counts as food, right? ",IMG_5107.JPG,ria_camiii,-13:15,normal,var3
62,homemade popsicle! this one is lemonade with cucumber. #refreshing,IMG_20160528_142024253.jpg,ria_camiii,11:16,normal,var4
63,A first for me: cake with marshmallow cream frosting. The cake is somewhat less sweet to offset the sweetness of the icing. Definitely trying this one myself!,IMG_1240.JPG,ria_camiii,35:17,normal,var1
64,andother #homemade popsicle! this one is blueberry and cream. I need classier popsicle holders though... you can tell these are made for little kids...,IMG_20160604_170347434.jpg,ria_camiii,59:18,normal,var2
65,"sweet peppers and three different kinds of sausage: chorizo, bratwurst, blood sausage. I did not take ap icture of it when it was cooked but the blood sausage tastes almost like a hot dog only it has a crumbly texture inside",1438450869408.jpg,SnakeCharmer,-14:19,normal,var3
66,"when you want ramen 🍜 but you only have plain spaghetti you can add a small amount of baking soda to the pasta cooking water to give it the chewy texture that ramen has. this batch has beef, mushrooms, green onion, and bok choy. make sure to rinse the pasta thoroughly or it tastes bad.",20131102_235435945_iOS.jpg,SnakeCharmer,10:20,normal,var4
67,this said it was beer-battered fish and chips but I think it was just regular batter. I have made beer batter before and I could taste the beer then and I could not taste the beer flavor in this. but it was still good.,IMAG0038.jpg,SnakeCharmer,34:21,normal,var1
68,today I m braising these ribs. they are in a reduction with white wine and onions and garlic and some herbs. last time i made these they became not as soft as i wanted but im going to cook them at lower temperature this time and hope it comes out better,image-20170112_164632.jpg,SnakeCharmer,58:22,normal,var2
69,#breadoftheday: challah!,IMG_20170114_213521.jpg,breethebaker,-15:23,normal,var3
70,#breadoftheday: a rustic loaf that fell a little flat. It will make great crusty sandwiches though!,IMG_20170204_155808.jpg,breethebaker,09:24,normal,var4
71,no bread today... but I did make funeral potatoes! #potluck,20131212_011016090_iOS.jpg,breethebaker,33:25,normal,var1
72,#breadoftheday: sourdough! I was amazed how well this held together. It's going to make amazing sandwiches!,IMG_20170218_205147.jpg,breethebaker,57:26,normal,var2
73,I didn't manage to get great light for this photo but this lobster tail and artichoke with potato casserole were to die for. Just a little melted butter and... mmmm!  The kids don't love artichoke so they got broccoli instead.,IMAG0055.jpg,livelaughlove,-16:27,normal,var3
74,"A few weeks ago I saw a pinterest post that basically said ""the only thing stopping you from dipping everything in chocolate is your own imagination"". I never thought of it that way before! So of course I had to try dipping some ice cream sandwiches. They only lasted about 30 seconds after I took this picture!",IMAG0065.jpg,livelaughlove,08:28,normal,var4
75,I've been trying to keep everyone's plates at least 1/3 green.  Hubby and I are enjoying it- the kids not so much. ,IMAG0086.jpg,livelaughlove,32:29,normal,var1
76,Early Thanksgiving Dinner :) sweet potato casserole is my favorite Thanksgiving dish!!,IMG_0932.JPG,livelaughlove,56:30,normal,var2
77,this omelet had bacon *and* sausage *and* ham in it,IMG_20160625_113114.jpg,NoahM1121,-17:31,normal,var3
78,I wish i lived where this bagel place is. this thing was amazing,IMG_20170415_095155.jpg,NoahM1121,07:32,normal,var4
79,"this was really good but when I order spaghetti and meatballs, I'm expecting meatballS, not one meatball",IMG_20170519_184216.jpg,NoahM1121,36:33,normal,var1
80,fries with hot sauce>>>>>fries without hot sauce 🍟🍟,IMG_4266.JPG,NoahM1121,58:34,normal,var2
81,The lasagna at Aiello's is 😍😍😍,IMG_20170519_184211.jpg,sweetpea,-18:35,normal,var3
82,I think I can remember that...,IMG_20170520_081116.jpg,sweetpea,06:36,normal,var4
83,"has anyone else tried this rolled ice cream? This one is matcha with berries (and a random oreo that I definitely didn't ask for, but who can complain?). It was so fun watching them make it!",IMG_20170423_163934.jpg,sweetpea,30:37,normal,var1
84,first time making my own eggplant parm. looks good in the pan....,IMG_20170423_172139.jpg,sweetpea,54:36,normal,var2
85,...and it looks good on the plate too! :D,IMG_20170423_172856.jpg,sweetpea,54:38,normal,var3
86,"forget the congrats cake, get me a congrats pastry",IMG_20160528_181547.jpg,fusionfeast,-18:39,normal,var4
87,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,normal,var1
88,idk what these were called but they were kind of like sushi burritos,IMG_20160522_094535.jpg,fusionfeast,29:41,normal,var2
89,breakfast frm my gf's perspective. u can't tell but that's a chili cornbread waffle in the background,IMG_20140118_120236.jpg,fusionfeast,53:42,normal,var3
90,i didn't make this or take the pic but I did get to eat it. carnitas like this are what i want my last meal to be,yvonne-lee-harijanto-41745.jpeg,cavsforever,-19:43,normal,var4
91,this kind of breakfast is what I need every day,IMG_20170513_105523.jpg,cavsforever,04:44,normal,var1
92,this was thai chile wings from yesterday. there were not enough but they were good,IMG_20170404_182054.jpg,cavsforever,28:45,normal,var2
93,you know your wife loves you when she makes you a sandwich like this,IMG_20170424_120657.jpg,cavsforever,52:46,normal,var3
94,panini ❤️,lluis-domingo-30992.jpeg,lavenderrrrrr,-20:47,normal,var4
95,perfect berger 🍔 ❤️,sebastian-lp-155047.jpeg,lavenderrrrrr,03:48,normal,var1
96,homemade mint ice cream 🍦 💚,monika-4.jpeg,lavenderrrrrr,27:49,normal,var2
97,apricot tart  💛,kowalewski-2.jpeg,lavenderrrrrr,51:50,normal,var3
98,not putting this one in my portfolio bc the visible lens cap is embarrassing. but this soup was so fresh-tasting!,d-ng-tri-66959.jpeg,earthpulse,-21:51,normal,var4
99,who knew a lemon slice could be a work of art? 💛,IMG_20140517_084619.jpg,earthpulse,02:52,normal,var1
100,turns out you really can make bread in a crock pot! 🍞 amazingly soft whole-grain bread too!,IMG_20141108_113638.jpg,earthpulse,26:53,normal,var2
101,"homemade soda! left: hibiscus, right: lemon ginger. so easy, and SO GOOD!",IMG_20140709_174852.jpg,earthpulse,50:54,normal,var3
102,"pepperoni n mushroom, the slice of life.",image-20160905_154811.jpg,MannyDL34,-22:55,normal,var4
103,ill take one of each,IMG_0638.JPG,MannyDL34,01:56,normal,var1
104,"when you cant decide whether to have a burger or a hotdog, put hotdog slices on ur burger",IMG_20140725_192043063_HDR.jpg,MannyDL34,25:57,normal,var2
105,switching it up with ham n mushroom instead of my usual pepperoni n mushroom,IMG_20150530_150722.jpg,MannyDL34,49:58,normal,var3
106,"like 20 instagram edits & filters later, my cappucino looks seriously professional ☕",kowalewski-3.jpeg,caffeinated,-23:59,normal,var4
107,the best breakfast ❤️❤️❤️,20130727_155131000_iOS.jpg,caffeinated,-00:05,normal,var1
108,research and a lovely ☕,IMG_5014.JPG,caffeinated,24:02,normal,var2
109,"homemade ginger and molasses cake with lemon glaze. The recipe asked for only powdered ginger, but i put some fresh ginger in as well and it was perfect!",IMG_20170312_093829.jpg,caffeinated,48:03,normal,var3
110,that ginger cake was perfect with some bosc pears... and after some homemade veggie chowder.,IMG_20170312_134430930.jpg,caffeinated,48:12,normal,var4
111,deep dish babyyyy,IMAG0052.jpg,wiz_khaleesi,-24:05,normal,var1
112,"damn right, dem wings",IMAG0157.jpg,wiz_khaleesi,-01:06,normal,var2
113,korean bbq with my babes 🍖,IMAG0160.jpg,wiz_khaleesi,23:07,normal,var3
114,carrying this chicken to work in my bag like...,IMG_20131026_160645.jpg,wiz_khaleesi,47:08,normal,var4
115,everyone... these are CHOCOLATE MOOSES. They are literally made of chocolate. You can't see it but there's a little baby chocolate moose behind them. ,IMG_20150411_132000.jpg,jackrussellmom,-25:09,normal,var1
116,amazing bread pudding for breakfast... excuse the random junk of normal life in the background...,IMG_20150731_182433.jpg,jackrussellmom,-02:10,normal,var2
117,"I was digging through some old photos and wanted to share this baked squash that I made last fall.  The black specks aren't raisins, they're actually black currants - they have a kind of similar flavor but they seem so much fancier! Kind of like shallots are the fancier version of onions...",IMG_20151126_161749566.jpg,jackrussellmom,22:11,normal,var3
118,I love when the waffle shop gives you extra crunchy edges to snack on...,IMG_20150510_091045970_HDR.jpg,jackrussellmom,46:12,normal,var4
119,"This bad boy was in the back of the freezer from last christmas. I'm kind of shocked it wasn't all eaten, but the ""green icing swirl"" might be a clue as to why.",20131203_010020000_iOS.jpg,john73,-26:13,normal,var1
120,"I think this was technically a yorkshire pudding? The gravy was great though, and as you can see there was a lot of it!",IMAG0023.jpg,john73,-03:14,normal,var2
121,"This is what they're giving kids in movie theaters these days.  It's definitely creative... but even one of these sections would send my little man through the roof, so dad had to take over.",IMAG0039.jpg,john73,21:15,normal,var3
122,I can't take credit for cooking this one - that goes to my wife. But I told her it looked so gourmet that I had to post it!,IMG_20160710_214258.jpg,john73,45:16,normal,var4
123,"Folks, you heard it here 1st! A peach skewered and roasted over coals is a sweet and soft treat. Be sure to peel the skin of before eating. 🍑",IMG_20160821_070318145.jpg,Jcole9,-27:17,normal,var1
124,"This brisket was not bad, but let's be honest, I've done better.",IMG_20170323_183218.jpg,Jcole9,-04:18,normal,var2
125,Normally I'm a meat man but i tried my hand at a new biscuit recipe this morning. This one has cheddar cheese and some of the same herbs that we use for the chicken seasoning.,IMG_20170305_133402.jpg,Jcole9,20:19,normal,var3
126,Close up of the biscuit so you can see the cheese.,IMG_20170305_133410.jpg,Jcole9,20:21,normal,var4
127,I'm going to wrap these in foil for the grill tonight,IMG_20160806_120708.jpg,Jcole9,44:20,normal,var1
128,Presenting the results of testing the new bread pan my bf got me!  It's so square :D,IMG_20170101_212355.jpg,kittycatbakes,-28:21,normal,var2
129,"My very first attempt at homemade bagels! There are several things you have to do to make them ""bagel-y"". I succeeded at the boiling process so they have bagel-like texture, but I didn't manage to find the malt powder to give them that extra bagel flavor. Still great with cream cheese though!",IMG_20161029_090816186_HDR.jpg,kittycatbakes,-05:22,normal,var3
130,New kind of sourdough loaf! This one has a super crunchy crust and slices really well!,IMG_20170305_194214.jpg,kittycatbakes,19:23,normal,var4
131,"Throwback to when my bf and I got Starbucks in China and they labeled our cups ""foreigner""! 😂",IMG_20160818_151848.jpg,kittycatbakes,43:24,normal,var1
132,Another trial - pane sesamo! The recipe was from an old Italian cookbook that was a gift from my dad. The inside has a great sesame flavor too. Will definitely be making this one again.,IMG_20170121_233751.jpg,kittycatbakes,67:25,normal,var2
133,my bf put this adorable spread together for my birthday.  those are roasted purple carrots in there with the microgreens!  he really knows how to make a girl happy (hint: it involves naturally sweetened whole grain nut bread...),chris-lawton-165884.jpeg,bblueberryy,-06:26,normal,var3
134,the best juices in Jeff City! Left: Carrot & mango. Right: banana & greens.,IMG_1153.JPG,bblueberryy,18:27,normal,var4
135,this veggie panini was perfect! there was the perfect amount of avocado to keep it juicy. I definitely did not miss the meat or cheese!,vegan1.jpg,bblueberryy,42:28,normal,var1
136,raw avocado and mushroom salad <3 <3  It requires a lot of slicing but it's sooooo worth it!,vegan7.jpg,bblueberryy,66:29,normal,var2
137,"this is the cake I got for my mom for her b-day. enjoy, other mturkers",IMG_20161009_190757.jpg,mateoV,17:31,normal,var3
138,good looking chicken my wife made. hope its good enough for my $14 bonus lol,IMG_20150907_005746.jpg,mateoV,65:33,normal,var4
139,"look at this PERFECT tomato from my dad's garden! the color is not exaggerated at all, it really is that bright in real life! #nofilter",IMG_20160819_120242814.jpg,breathe_in,-08:34,normal,var1
140,making our own sushi! My rolls all came out uneven and squished so I got a picture of my friend's instead.,vegan3.jpg,breathe_in,16:35,normal,var2
141,a little ranbow salad! soooooooooo much chopping though :P  #eatclean,vegan6.jpg,breathe_in,40:36,normal,var3
142,"tomato, broccoli, and cauliflower casserole for the week. Plus just a little bit of goat cheese, of course ;) #eatclean",IMG_0845.JPG,breathe_in,64:37,normal,var4
143,sno-cone + whipped cream? I'll take it.,20130801_030411000_iOS.jpg,jupiterpride,-09:38,normal,var1
144,chinese-style shaved ice! this stuff is amazinggggg 🍧,image-20161206_140042.jpg,jupiterpride,15:39,normal,var2
145,"honestly red velvet cake just tastes like cake, but this tastes like red velvet cake. I know that makes no sense but if you try it you'll get it!!",20131004_203557000_iOS.jpg,jupiterpride,39:40,normal,var3
146,I feel like I've had a lot of shaved ice/ice cream lately? but this one was matcha flavored and had pink mochi AND pink pocky garnishes <3,IMG_20150531_131752440_HDR.jpg,jupiterpride,63:41,normal,var4
147,"homemade pizza w/ pesto, chicken, artichoke hearts, and feta cheese. The edges got a little burned but the flavors were great.",IMG_20141129_192628.jpg,artisanalways,-10:42,normal,var1
148,"first homemade dumplings! There's pork, spring onions, and cabbage inside. eaten with napkins left over from Christmas.",IMG_20141226_110500.jpg,artisanalways,14:43,normal,var2
149,dinner I forgot to post from a few nights ago - spinach salad w/ shrimp!,IMG_20170125_175759.jpg,artisanalways,38:44,normal,var3
150,"I spent for freaking EVER putting the carrot/zucchini/squash slices in place for this tart nd I COMPLETELY FORGOT TO ADD SALT. It's pretty enough that Id make it again but... do better next time, Riya!",vegan2.jpg,artisanalways,62:45,normal,var4
151,for once I got to the dining hall early enough that there aren't randos in the background of my breakfast photo. ,zhifei-zhou-28092.jpeg,_aikira_,-11:46,normal,var1
152,"texas waffle, baby!",IMG_0133.JPG,_aikira_,13:47,normal,var2
153,"look at this bundt cake, my mama would be proud lol",20170503_012856000_iOS.jpg,_aikira_,61:49,normal,var3
154,"dinner with the fam: sweet potato casserole with marshmallows. I baked it without the marshmallows until it was basically done, then put them on and put it under the broiler. And then of course I had to check it obsessively every minute or so to make sure they didn't burn.",20131116_001622291_iOS.jpg,lee.alexa,-06:01,cohort,var4
155,"strawberry and white chocolate scones for breakfast tomorrow. the dough was really sticky, I kind of think I may have used too much flour in the course of rolling/placing them... but nobody is going to complain because unless they combust in the oven they're going to be great.",20170515_214826603_iOS.jpg,lee.alexa,00:31,cohort,var1
156,lunch: the cutest cup of seafood chowder.,IMAG0035.jpg,lee.alexa,15:05,cohort,var2
157,"dinner with the fam: fish *and* shrimp, with brussels sprouts and spinach/potato casserole. the sprouts could have used some more seasoning but overall it was well-received.",IMAG0075.jpg,lee.alexa,17:08,cohort,var3
158,"splurge breakfast: waffle with strawberries, fresh whipped cream, and lemon curd. Jess got the one with chocolate chips but I forgot to grab a pic for y'all.",IMG_0410.JPG,lee.alexa,31:49,cohort,var4
159,"dinner with the fam: stir fried asparagus, chicken & peppers, and rice cakes",IMAG0147.jpg,lee.alexa,46:50,cohort,var1
160,is an afternoon cold brew a bad idea? am I going to be so caffeinated I vibrate myself into an alternate plane of existence? let's find out!,IMG_20160102_110021.jpg,lee.alexa,62:30,cohort,var2
161,"maybe the afternoon cold brew was bad for my heart rate, but it gave me the energy to chop all these veggies and get them marinating for the potluck tomorrow.",vegan4.jpg,lee.alexa,64:33,cohort,var3
162,"dinner with the fam: quiche with onions, goat cheese, ham, and fresh thyme. The onions got a little burnt while baking but overall it was quite good.",IMG_0059.JPG,lee.alexa,65:10,cohort,var4
163,dessert: pumpkin spice ice cream with a ginger cookie!,IMG_20170404_184643.jpg,lee.alexa,-26:59,cohort,var1
164,chili the wife made,IMG_20140208_144331.jpg,Ataylor,-10:12,normal,var2
165,i made this casserole ,IMG_0925.JPG,Sue_S,05:13,normal,var3
166,it's a party: brie and jam toasts,20131224_235709000_iOS.jpg,karenM,20:14,normal,var4
167,i had this pizza yesterday,IMG_20170125_175755.jpg,jake_turk,35:15,normal,var1
168,all this bread is going to go on the grill,IMG_20150801_105206508.jpg,snowbird,50:16,normal,var2
169,"veggie omelet, healthy as f***",vegan5.jpg,youngcunningham,65:17,normal,var3
170,i loved this ramen (ft. my gf's hands),IMG_5241.JPG,tacoguy,-7:18,normal,var4
171,To this day nothing still beats my mom's good old meatloaf...so good,51.jpg,Smitty12,-2:25,normal,var1
172,who doesnt like a good burger??,54.jpg,Smitty12,4:32,normal,var2
173,Homemade or delivery? what do you think,57.jpg,Smitty12,20:01,normal,var3
174,"Not much left in the fridge, had to get creative with leftovers pork and tomatoe soup",50.png,Smitty12,45:07,normal,var4
175,AFTERNOON SNACKTIME !!!,vegan8.jpeg,southerngirlCel,-10:30,normal,var1
176,who knew my water could look so artsy,monika-5.jpeg,southerngirlCel,-1:12,normal,var2
177,"new recipe that I found online >>>> UNBELIEVABLE! If you're looking for tasty, semi-healthy treats check out gwtreats.com",alicja-2.jpeg,southerngirlCel,7:14,normal,var3
178,"pretty proud of myself after making this, amzing how good it can and feel and taste eating healthy!",53.jpg,southerngirlCel,19:13,normal,var4
179,"Sushi, my guilty pleasure....california and salmon rolls. I'm spoiling myself today. Check out SushibyDave downtown on Locke Street, great food :)",59.jpg,southerngirlCel,"34:45
",normal,var1
180,"Tried something new for the boys tonight. Made a beef teriyaki stir-fry with broccoli....Ryan was a big fan, Sammy not so much. Oh well, I'll take 1 for 2 :)",52.jpg,hockeymom101,-2:43,normal,var2
181,Throwback to some of our spooky treats from last Halloween. It's amazing what marshmellows and a little bit of icing can do lol,55.jpg,hockeymom101,1:17,normal,var3
182,"Still getting used to taking pictures of my food, but I think I'm getting the hang of it...thought this dinner deserved to be shared. YUM",56.jpg,hockeymom101,2:86,normal,var4
183,It's always nice when I get some free time to do some baking :) This is one of my favourites; raisin cinnamon bread. An old family recipe!,75.jpg,hockeymom101,28:41,normal,var1
184,here's my attempt at bruschetta aha not quite as good as Alberni's but not bad....the roomies liked it at least,73.png,SamTHEMAN,12:53,normal,var2
185,"Me and Murph went down to Louies Bar and Grill to watch the game, i couldn't resist taking a pic of their famous nacho platter",71.png,SamTHEMAN,29:15,normal,var3
186,Meatballs baby,70.jpg,SamTHEMAN,56:13,normal,var4
187,"Trying to broaden my horizons a bit, this Spicy Thai Noodle dish was definitley different",58.jpg,SamTHEMAN,67:43,normal,var1
188,Oh... hell... yesssss!,180221-0.jpg,BeardedMatt,37:23,normal,var2
189,Dear all my friends in CA: this is disgusting. No thanks. (No offense but it's bad bro.),180221-1.JPG,MedicalRyan,-20:33,normal,var3
190,Enjoying my favorite chicken parm! 🍝🍝🍝,180221-7.JPG,Lisa181818,-2:30,normal,var4
191,😂 Seen in Chelsea Market... tried it... it's good ,180221-14.JPG,this_jack,12:30,normal,var1
192,"When you want to be a pot plant but you're actually a dessert.""",180221-6.JPG,PatelS,43:33,normal,var2
193,"New dim sum place in Fort Smith! Best in the state for sure, similar to the one I tried in Chinatown in NYC! ",180221-10.JPG,DonDonDonna,70:00,normal,var3
194,Goofy tongue for a treat from my sweet Ben,180221-21.JPG,EmmaSmith0214,-24:00,normal,var4
195,It's sushi burrito kinda of lunch. 🍣 🌯,180221-2.jpg,B.Mike,-12:35,normal,var1
196,Who knows ethiopian food can be so good!,IMG_7554.JPG,mariaann,-03:27,normal,var2
197,Some cakes that I baked for a pink-loving friend's wedding 💒,IMG_20140214_212805.jpg,mariaann,14:36,normal,var3
198,afternoon tea with my lil sis who really knows how to take a good photo lol,IMG_0485.PNG,mariaann,20:23,normal,var4
199,spicy noodles tonight!,IMG_20170427_181335.jpg,mariaann,-10:12,normal,var1
200,Just my usual diet 🍗🍗,IMG_8786.jpg,thisisalfie1998,-6:18,normal,var2
201,"Had this in NYC, don't know what it's called but it tastes weirdly good lol",IMG_6902.jpg,thisisalfie1998,39:56,normal,var3
202,luke's lobsters is always the best...,IMG_6601.jpg,thisisalfie1998,45:24,normal,var4
203,I'm so hungry i can eat this whole thing by myself...,IMG_20151126_173327.jpg,thisisalfie1998,67:12,normal,var1
204,can't imagine my life without this #paella #blessed #spanishfood ♥️🥘,IMG_2350.jpg,KatieeeM,12:49,normal,var2
205,#tbt to some authentic #fishandchips that I had in London #betterthanamericanfoodlol,IMG_7474.jpg,KatieeeM,16:11,normal,var3
206,"you gotta take advantage of the happy hours, especially when it involves oysters😏😏😏",IMG_6912.jpg,KatieeeM,-03:25,normal,var4
207,AHHHHHH A R2D2 PUMPKIN THIS IS TOO CUTE OMG #starwars #nerdvegetable,IMAG0040.jpg,KatieeeM,03:35,normal,var1
208,A lovely dinner to celebrate our 10th wedding anniversary. Thank you Alice for being the most important person of my life!,IMG_5132.jpg,TimBJenkins,-08:16,normal,var2
209,Took my daughter to thai for the first time and she loved it.,IMG_9155.jpg,TimBJenkins,14:15,normal,var3
210,Ramen for today's lunch with colleagues,IMG_5241.JPG,TimBJenkins,39:57,normal,var4
211,Dinner with a client yesterday. Anybody knows what cuisine this is?,IMG_20161213_213224.jpg,TimBJenkins,55:14,normal,var1
212,Japanese-style fries with mayo and bonito flakes. Real good!,180221-5.JPG,BeardedMatt,69:22,normal,var2
213,🌮🌮🌮Taco festival at the fairgrounds! ,180221-8.JPG,MedicalRyan,-20:33,normal,var3
214,Egg Benidict for brunch on this Sunny but windy day. Iced coffee was... let's just say I can make better ones at home. Haha.,180221-24.JPG,Lisa181818,15:15,normal,var4
215,#tbt to last year when I was in Chicago having #ChicagoBagelAuthority,180221-17.JPG,this_jack,50:00,normal,var1
216,Cupcake alert at my office today. :D #TeamMicrosoft,180221-15.JPG,PatelS,-01:55,normal,var2
217,Ramen. ,180221-16.JPG,DonDonDonna,32:00,normal,var3
218,"Visited my brother at Cornell University today and they have their own hotel called ""The Statler"" and it has some amazing curry over rice for $7",180221-3.JPG,EmmaSmith0214,15:15,normal,var4
219,Hanging out with the bitches today. ,180221-4.JPG,B.Mike,20:20,normal,var1
